genres,vote_average
Action,5484.899999999987
Adventure,4154.2000000000035
Animation,1281.3
Comedy,6364.199999999989
Crime,2918.5999999999995
Documentary,58.8
Drama,8419.199999999999
Family,2515.7000000000003
Fantasy,2210.3999999999987
History,956.1999999999999
Horror,1367.2000000000005
Music,642.8999999999999
Mystery,1485.3000000000004
Romance,3298.699999999997
Science Fiction,2422.5000000000005
Thriller,5216.199999999989
War,725.0999999999997
Western,282.8
